ds,yhat
2018-01-01,3528808.2981960345
2018-01-02,3373785.305452371
2018-01-03,3357168.247985885
2018-01-04,3199398.2779369713
2018-01-05,3423310.999037603
2018-01-06,4667650.271059765
2018-01-07,4756640.608862337
2018-01-08,2921201.3328625835
2018-01-09,2739839.884796956
2018-01-10,2706498.7885929057
2018-01-11,2541810.535397416
2018-01-12,2768593.6079345327
2018-01-13,4025368.418760645
2018-01-14,4135936.9404248837
2018-01-15,2330608.9547944013
2018-01-16,2187111.9774291124
2018-01-17,2198458.8610990676
2018-01-18,2084226.7779832552
2018-01-19,2366080.129166481
2018-01-20,3681315.421418622
2018-01-21,3852471.1074039005
2018-01-22,2108584.5094603575
2018-01-23,2026132.0728233722
2018-01-24,2096926.161885032
2018-01-25,2039421.3496549907
2018-01-26,2374262.060993876
2018-01-27,3737849.001331146
2018-01-28,3951966.8542840397
2018-01-29,2245054.964497869
2018-01-30,2193156.9660855727
2018-01-31,2287822.4101234344
2018-02-01,2247413.308785957
2018-02-02,2592647.5513843517
2018-02-03,3960156.8411635966
2018-02-04,4172101.968028097
2018-02-05,2457427.569529912
2018-02-06,2392792.865507541
2018-02-07,2470452.0189154213
2018-02-08,2409537.694744182
2018-02-09,2731580.4622391057
2018-02-10,4074042.394718635
2018-02-11,4259908.382655123
2018-02-12,2518917.986913749
2018-02-13,2428474.9485556907
2018-02-14,2481508.576092669
2018-02-15,2397741.072989823
2018-02-16,2699193.8508186685
2018-02-17,4023711.481527469
2018-02-18,4194546.995406986
2018-02-19,2441591.4305759086
2018-02-20,2342284.7165587447
2018-02-21,2389481.969414102
2018-02-22,2302729.01375902
2018-02-23,2603779.8351940284
2018-02-24,3930134.1915635173
2018-02-25,4104638.5959995235
2018-02-26,2356733.030941459
2018-02-27,2263379.893945441
2018-02-28,2316948.6536960877
2018-03-01,2236509.4342275886
2018-03-02,2543367.6532371202
2018-03-03,3874617.402872393
2018-03-04,4052756.2993585547
2018-03-05,2306943.742318531
2018-03-06,2213938.746368392
2018-03-07,2265990.5750734145
2018-03-08,2182135.243932283
2018-03-09,2483729.9664667496
2018-03-10,3808003.2821221426
2018-03-11,3977663.7404084606
