TransYearMonth,TransDate,Branch,Department,Visit,Sales
201902,2019-02-03,005,Dept1,113,75758.59
201804,2018-04-22,002,Dept1,239,149343.05
201806,2018-06-02,003,Dept1,140,91703.42
202005,2020-05-13,021,Dept2,87,7221.7
201907,2019-07-24,013,Dept1,48,25154
202008,2020-08-07,013,Dept2,288,46980.35
201808,2018-08-01,015,Dept2,148,26402.15
201808,2018-08-17,008,Dept2,203,50439.96
201902,2019-02-27,005,Dept2,372,75373.06
201904,2019-04-28,013,Dept2,163,39370.5
201803,2018-03-24,008,Dept2,251,60294.35
202001,2020-01-02,005,Dept1,137,72888.52
202001,2020-01-10,018,Dept2,1161,100885.7
201911,2019-11-15,016,Dept1,155,91805.51
201807,2018-07-27,003,Dept1,168,89858.5
202009,2020-09-11,016,Dept2,306,66831.18
201808,2018-08-09,015,Dept1,55,40919
201802,2018-02-07,008,Dept2,140,30993
202007,2020-07-04,007,Dept2,722,159479.2
201902,2019-02-11,018,Dept2,381,63942.5
201804,2018-04-04,007,Dept2,309,89923.38
201805,2018-05-17,008,Dept2,179,44824.32
201906,2019-06-25,016,Dept2,237,90072
201903,2019-03-13,013,Dept1,36,33221.5
201802,2018-02-17,010,Dept2,413,108503.85
201810,2018-10-27,004,Dept2,874,138862.54
201907,2019-07-03,018,Dept1,139,80535.05
201904,2019-04-04,013,Dept1,68,35894
201905,2019-05-12,005,Dept1,250,139859.62
202005,2020-05-26,006,Dept1,163,90497.5
201803,2018-03-16,015,Dept1,94,67349
201910,2019-10-06,005,Dept2,940,111547.76
201812,2018-12-12,013,Dept2,54,18695.65
201812,2018-12-04,013,Dept1,19,14183
201901,2019-01-16,016,Dept1,171,115390.5
202007,2020-07-12,007,Dept1,242,127290.25
201901,2019-01-05,017,Dept2,418,87256.5
201902,2019-02-19,018,Dept1,137,71198
201805,2018-05-11,010,Dept2,373,86177.25
201909,2019-09-15,012,Dept2,690,143252.8
201905,2019-05-04,018,Dept2,1285,116589.55
201908,2019-08-20,004,Dept2,465,68897.83
201801,2018-01-22,003,Dept1,103,46373.5
201801,2018-01-30,003,Dept2,479,80113
202009,2020-09-29,013,Dept1,44,15449
201811,2018-11-21,019,Dept1,40,20964.5
201802,2018-02-26,003,Dept2,515,98877
201908,2019-08-28,004,Dept1,263,138709.71
201905,2019-05-26,018,Dept2,540,102773.2
201808,2018-08-27,010,Dept2,335,77647
201812,2018-12-30,016,Dept1,287,190465.75
202009,2020-09-03,016,Dept1,112,45763.1
201906,2019-06-03,013,Dept2,192,33460
201806,2018-06-20,006,Dept2,435,93933.25
202008,2020-08-26,018,Dept2,370,44118.25
202007,2020-07-25,020,Dept2,1237,104608.15
201805,2018-05-25,015,Dept1,91,65562.5
201906,2019-06-17,016,Dept1,169,97073.5
201912,2019-12-06,014,Dept1,177,97446.9
202007,2020-07-26,002,Dept2,286,93879.94
201811,2018-11-13,004,Dept2,379,74376.76
202006,2020-06-26,009,Dept1,67,46056.45
201908,2019-08-12,019,Dept1,215,110134.89
201807,2018-07-09,006,Dept2,563,111988.49
201809,2018-09-17,012,Dept2,238,54679
202002,2020-02-12,007,Dept1,160,61501.06
201801,2018-01-08,006,Dept2,601,143550.05
202005,2020-05-09,002,Dept2,244,300243.95
201901,2019-01-13,017,Dept1,136,74731.5
201901,2019-01-31,012,Dept2,202,48342.25
201812,2018-12-07,012,Dept1,89,39827.5
201902,2019-02-16,019,Dept1,207,94442.5
201904,2019-04-09,012,Dept1,58,28237
201807,2018-07-22,002,Dept1,331,173336.87
201909,2019-09-12,013,Dept2,167,17509.65
201911,2019-11-18,017,Dept1,75,41021.5
201903,2019-03-10,012,Dept1,142,118616.14
202006,2020-06-19,010,Dept1,80,49148.9
201906,2019-06-14,017,Dept1,112,69162
201907,2019-07-27,012,Dept1,155,76226.72
201906,2019-06-22,017,Dept2,481,79558
201810,2018-10-30,005,Dept2,465,53955.69
202002,2020-02-09,006,Dept1,856,313985.88
201905,2019-05-31,004,Dept1,230,127821.08
201805,2018-05-22,009,Dept2,102,31979
202003,2020-03-06,010,Dept1,119,61062.5
201902,2019-02-24,004,Dept2,839,163564.54
201811,2018-11-10,005,Dept2,681,112690.7
201809,2018-09-20,013,Dept2,107,24571
201807,2018-07-03,009,Dept1,59,37195.25
201808,2018-08-06,014,Dept1,105,56364.6
201905,2019-05-17,004,Dept1,186,112452.16
202001,2020-01-05,004,Dept1,417,201460.16
201910,2019-10-09,004,Dept2,689,113959.57
202001,2020-01-13,019,Dept2,292,50752.45
201902,2019-02-08,019,Dept2,188,35010.75
201905,2019-05-09,019,Dept2,465,45202.75
201808,2018-08-14,009,Dept2,119,31575.54
201802,2018-02-02,009,Dept2,182,39313.5
201911,2019-11-29,004,Dept1,488,263868.92
202005,2020-05-23,007,Dept1,159,104592.19
201801,2018-01-25,002,Dept2,297,110433
201908,2019-08-25,005,Dept1,248,141073.63
202008,2020-08-31,019,Dept2,365,37292.2
202007,2020-07-15,006,Dept1,177,123371
202005,2020-05-01,002,Dept1,18,15156
202003,2020-03-20,015,Dept2,177,30735.65
201908,2019-08-09,018,Dept1,132,69450.35
201812,2018-12-15,012,Dept2,425,114004.17
201806,2018-06-07,002,Dept1,90,62016.5
201910,2019-10-01,019,Dept1,109,44799.5
201807,2018-07-04,007,Dept2,447,395312.34
202007,2020-07-07,006,Dept2,835,163207.25
201912,2019-12-11,015,Dept1,107,59831.5
201811,2018-11-18,018,Dept1,124,69831
201912,2019-12-03,008,Dept2,204,60700.84
202002,2020-02-26,021,Dept2,949,181030.95
201803,2018-03-21,014,Dept1,138,123717.87
202007,2020-07-29,003,Dept2,353,40257.3
201804,2018-04-17,003,Dept1,120,78294.5
201805,2018-05-30,014,Dept1,86,60650.1
201901,2019-01-08,016,Dept2,320,130021.69
202002,2020-02-27,003,Dept2,418,56071.1
202009,2020-09-08,017,Dept1,57,24249
201803,2018-03-29,009,Dept2,135,34069.75
202007,2020-07-30,021,Dept2,988,144231.7
202009,2020-09-16,017,Dept2,281,44964.15
201905,2019-05-23,019,Dept2,113,30608.75
202006,2020-06-29,008,Dept1,71,43241.88
201806,2018-06-25,007,Dept2,178,42017.25
201801,2018-01-17,002,Dept1,158,87595.74
201912,2019-12-29,010,Dept2,486,125375.9
201801,2018-01-03,007,Dept2,314,78455.69
201908,2019-08-17,005,Dept2,762,103218.8
202008,2020-08-02,012,Dept2,890,106335.55
201812,2018-12-29,017,Dept2,386,79217.6
201808,2018-08-18,009,Dept1,57,39818.5
202001,2020-01-01,004,Dept2,1075,251602.38
201801,2018-01-07,007,Dept1,166,105807.66
201805,2018-05-26,014,Dept2,604,136794.99
201904,2019-04-05,012,Dept2,272,53924
202007,2020-07-26,021,Dept1,1606,839170.6
201803,2018-03-25,009,Dept1,100,78652.5
201906,2019-06-26,017,Dept1,78,43668.5
201902,2019-02-04,004,Dept2,366,68370.5
202005,2020-05-27,007,Dept2,339,82261.06
201808,2018-08-02,014,Dept1,105,70479.85
201902,2019-02-20,019,Dept2,158,61214.75
202008,2020-08-27,019,Dept1,89,65537
201902,2019-02-12,019,Dept1,54,41650.5
201912,2019-12-07,015,Dept2,478,79714.3
201912,2019-12-25,010,Dept1,151,86573.75
