Year,CountryCode,CountryName,AmountUSD
1960,ABW,Aruba,
1960,AFG,Afghanistan,22222233.3333333
1960,AGO,Angola,
1960,ALB,Albania,
1960,AND,Andorra,
1960,ARE,United Arab Emirates,
1960,ARG,Argentina,
1960,ARM,Armenia,
1960,ASM,American Samoa,
1960,ATG,Antigua and Barbuda,
1960,AUS,Australia,2413484152.76067
1960,AUT,Austria,1532657935.92003
1960,AZE,Azerbaijan,
1960,BDI,Burundi,24499998
1960,BEL,Belgium,4407077777.67983
1960,BEN,Benin,13852022.3283418
1960,BFA,Burkina Faso,16066015.5932969
1960,BGD,Bangladesh,427347691.355166
1960,BGR,Bulgaria,
1960,BHR,Bahrain,
1960,BHS,"Bahamas, The",
1960,BIH,Bosnia and Herzegovina,
1960,BLR,Belarus,
1960,BLZ,Belize,
1960,BMU,Bermuda,
1960,BOL,Bolivia,60602013.3892052
1960,BRA,Brazil,1070544628.54537
1960,BRB,Barbados,
1960,BRN,Brunei Darussalam,
1960,BTN,Bhutan,
1960,BWA,Botswana,7991027.618113
1960,CAF,Central African Republic,26101663.5324279
1960,CAN,Canada,
1960,CHE,Switzerland,2644513819.75737
1960,CHI,Channel Islands,
1960,CHL,Chile,536608944.069088
1960,CHN,China,2571289300.51182
1960,CIV,Cote d'Ivoire,187017625.556139
1960,CMR,Cameroon,
1960,COD,"Congo, Dem. Rep.",
1960,COG,"Congo, Rep.",26943546.434338
1960,COL,Colombia,632672494.348154
1960,COM,Comoros,
1960,CPV,Cabo Verde,
1960,CRI,Costa Rica,107517342.937743
1960,CUB,Cuba,
1960,CUW,Curaçao,
1960,CYM,Cayman Islands,
1960,CYP,Cyprus,
1960,CZE,Czech Republic,
1960,DEU,Germany,
1960,DJI,Djibouti,
1960,DMA,Dominica,
1960,DNK,Denmark,2019063422.49182
1960,DOM,Dominican Republic,172100000
1960,DZA,Algeria,1063398804.94227
1960,ECU,Ecuador,197583745.854204
1960,EGY,"Egypt, Arab Rep.",
1960,ERI,Eritrea,
1960,ESP,Spain,1010042253.47371
1960,EST,Estonia,
1960,ETH,Ethiopia,
1960,FIN,Finland,1102793134.9799
1960,FJI,Fiji,
1960,FRA,France,9019483361.73158
1960,FRO,Faroe Islands,
1960,FSM,"Micronesia, Fed. Sts.",
1960,GAB,Gabon,48341345.4526679
1960,GBR,United Kingdom,14616021507.196
1960,GEO,Georgia,
1960,GHA,Ghana,343177628.740636
1960,GIB,Gibraltar,
1960,GIN,Guinea,
1960,GMB,Gambia,
1960,GNB,Guinea-Bissau,
1960,GNQ,Equatorial Guinea,
1960,GRC,Greece,378479573.556429
1960,GRD,Grenada,
1960,GRL,Greenland,
1960,GTM,Guatemala,131900000
1960,GUM,Guam,
1960,GUY,Guyana,82949308.7557604
1960,HKG,"Hong Kong SAR, China",0
1960,HND,Honduras,71800000
1960,HRV,Croatia,
1960,HTI,Haiti,
1960,HUN,Hungary,
1960,IDN,Indonesia,
1960,IMN,Isle of Man,
1960,IND,India,1652701652.70165
1960,IRL,Ireland,572620662.958074
1960,IRN,"Iran, Islamic Rep.",581541416.50165
1960,IRQ,Iraq,
1960,ISL,Iceland,102559674.82623
1960,ISR,Israel,309500000
1960,ITA,Italy,5047144627.96261
1960,JAM,Jamaica,232379252.414952
1960,JOR,Jordan,
1960,JPN,Japan,4751050160.35556
1960,KAZ,Kazakhstan,
1960,KEN,Kenya,246049901.369913
1960,KGZ,Kyrgyz Republic,
1960,KHM,Cambodia,88571428.5714286
1960,KIR,Kiribati,
1960,KNA,St. Kitts and Nevis,
1960,KOR,"Korea, Rep.",103762704.990748
1960,KWT,Kuwait,
1960,LAO,Lao PDR,
1960,LBN,Lebanon,
1960,LBR,Liberia,
1960,LBY,Libya,
1960,LCA,St. Lucia,
1960,LIE,Liechtenstein,
1960,LKA,Sri Lanka,422303067.226891
1960,LSO,Lesotho,4059918.80162397
1960,LTU,Lithuania,
1960,LUX,Luxembourg,624460982.263862
1960,LVA,Latvia,
1960,MAC,"Macao SAR, China",
1960,MAF,St. Martin (French part),
